tE_bin,piE_bin,tE_left_days,tE_right_days,tE_center_days,piE_left,piE_right,piE_center,n_positive,n_detected,n_confused,detection_fraction,shown_in_heatmap
3,9,6.045677937804893,8.114840867550425,7.004264015708369,0.447213595499958,0.6821903207721969,0.5523448073149632,42,0,42,0.0,False
3,10,6.045677937804893,8.114840867550425,7.004264015708369,0.6821903207721969,1.040629440692656,0.8425599871529117,53,0,53,0.0,True
3,11,6.045677937804893,8.114840867550425,7.004264015708369,1.040629440692656,1.5874010519682002,1.2852611675704677,42,0,42,0.0,False
3,12,6.045677937804893,8.114840867550425,7.004264015708369,1.5874010519682002,2.4214595525113247,1.960568142390089,37,0,37,0.0,False
3,13,6.045677937804893,8.114840867550425,7.004264015708369,2.4214595525113247,3.6937523489595185,2.990697562442443,29,0,29,0.0,False
3,14,6.045677937804893,8.114840867550425,7.004264015708369,3.6937523489595185,5.6345382276956855,4.5620816316516235,9,0,9,0.0,False
3,15,6.045677937804893,8.114840867550425,7.004264015708369,5.6345382276956855,8.595059451754269,6.959108495362503,7,1,6,0.14285714285714285,False
3,16,6.045677937804893,8.114840867550425,7.004264015708369,8.595059451754269,13.111109374690052,10.615590636131074,2,0,2,0.0,False
3,17,6.045677937804893,8.114840867550425,7.004264015708369,13.111109374690052,20.0,16.193275996344934,0,0,0,,False
4,0,8.114840867550425,10.892184959752594,9.401507732715983,0.01,0.015254239308390182,0.012350805361752804,0,0,0,,False
4,1,8.114840867550425,10.892184959752594,9.401507732715983,0.015254239308390182,0.02326918168776363,0.01884021406395259,1,0,1,0.0,False
4,2,8.114840867550425,10.892184959752594,9.401507732715983,0.02326918168776363,0.035495366597555714,0.028739313395283128,2,0,2,0.0,False
4,3,8.114840867550425,10.892184959752594,9.401507732715983,0.035495366597555714,0.05414548164181543,0.043839636409047256,2,0,2,0.0,False
4,4,8.114840867550425,10.892184959752594,9.401507732715983,0.05414548164181543,0.08259481344323,0.0668740304976422,12,0,12,0.0,False
4,5,8.114840867550425,10.892184959752594,9.401507732715983,0.08259481344323,0.12599210498948735,0.10201124647276179,25,0,25,0.0,False
4,6,8.114840867550425,10.892184959752594,9.401507732715983,0.12599210498948735,0.19219137204774617,0.1556103965842683,42,0,42,0.0,False
4,7,8.114840867550425,10.892184959752594,9.401507732715983,0.19219137204774617,0.29317331822241716,0.23737182283699315,80,0,80,0.0,True
